road_user_id,road_user_type,hostname,occurrence,frame_number,section_id,event_coordinate,event_type,direction_vector,video_name,OTCamera,Date,Time
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#111,pedestrian,otcamera29,2023-09-07 17:01:17.940646,1560,,"[185.41168212890625, 0.0]",leave-scene,"[0.5526885986328125, -0.23153305053710938]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1110,pedestrian,otcamera29,2023-09-07 17:10:25.224964,12507,,"[202.56746673583984, 0.03950309753417969]",leave-scene,"[0.5338592529296875, 0.03950309753417969]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1112,car,otcamera29,2023-09-07 17:10:27.724664,12557,,"[143.33648681640625, 0.0]",leave-scene,"[0.31591033935546875, 0.0]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1113,car,otcamera29,2023-09-07 17:12:24.560642,14894,,"[239.46182250976562, 0.024093151092529297]",leave-scene,"[-0.2472076416015625, -0.009861946105957031]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1115,car,otcamera29,2023-09-07 17:10:36.623596,12735,,"[733.58935546875, 379.25836181640625]",leave-scene,"[28.283447265625, 15.762405395507812]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1117,pedestrian,otcamera29,2023-09-07 17:11:23.018028,13663,,"[226.75250244140625, 487.95396423339844]",leave-scene,"[-8.966049194335938, 8.268081665039062]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1118,pedestrian,otcamera29,2023-09-07 17:10:42.872846,12860,,"[166.9791030883789, 98.01513671875]",leave-scene,"[-1.4501266479492188, -4.186664581298828]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1119,pedestrian,otcamera29,2023-09-07 17:10:29.024508,12583,,"[180.06198120117188, 0.21989822387695312]",leave-scene,"[-0.9278793334960938, -0.004962921142578125]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1123,car,otcamera29,2023-09-07 17:10:38.623356,12775,,"[714.892578125, 404.70672607421875]",leave-scene,"[33.31817626953125, 20.14593505859375]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
d7261a84-9115-4d26-a22c-8c99b0b81c0d#6#1124,car,otcamera29,2023-09-07 17:10:32.374106,12650,,"[149.76174926757812, 0.06333160400390625]",leave-scene,"[-0.8737106323242188, -0.004489898681640625]",otcamera29_FR20_2023-09-07_17-00-00_Nord.mp4,otcamera29,2023-09-07,17-00-00
